formation_date,group,t,CAR
2004-01-31,Loser,23,-0.21455592283257208
2004-01-31,Winner,24,0.13040922693807577
2004-01-31,Loser,24,-0.22919967791468604
2004-01-31,Winner,25,0.11608746445640124
2004-01-31,Loser,25,-0.20793791965357422
2004-01-31,Winner,26,0.14201450514706918
2004-01-31,Loser,26,-0.2122064376675596
2004-01-31,Winner,27,0.13927039342614356
2004-01-31,Loser,27,-0.23094054709454456
2004-01-31,Winner,28,0.0966598561033244
2004-01-31,Loser,28,-0.22776035036551848
2004-01-31,Winner,29,0.09443746052801069
2004-01-31,Loser,29,-0.21284879769730602
2004-01-31,Winner,30,0.060537835824529415
2004-01-31,Loser,30,-0.1977772063517563
2004-01-31,Winner,31,0.06329847177693446
2004-01-31,Loser,31,-0.1799484012287162
2004-01-31,Winner,32,0.1002888174081273
2004-01-31,Loser,32,-0.18776261299288813
2004-01-31,Winner,33,0.10835189838633892
2004-01-31,Loser,33,-0.2036092478266439
2004-01-31,Winner,34,0.12348207220835733
2004-01-31,Loser,34,-0.21767255280593367
2004-01-31,Winner,35,0.1216706910544052
2004-01-31,Loser,35,-0.20383239829422597
2004-01-31,Winner,36,0.12793859413499806
2004-01-31,Loser,36,-0.20262460557623865
2007-01-31,Winner,1,-0.002200283013979925
2007-01-31,Loser,1,0.006675262908625743
2007-01-31,Winner,2,0.012682921910461465
2007-01-31,Loser,2,-0.00972244504887836
2007-01-31,Winner,3,0.01749743921298305
2007-01-31,Loser,3,0.004572451805396614
2007-01-31,Winner,4,0.02620404446399332
2007-01-31,Loser,4,0.0010903632524201317
2007-01-31,Winner,5,0.04951719876674451
2007-01-31,Loser,5,0.012976391547285263
2007-01-31,Winner,6,0.0773427189165252
2007-01-31,Loser,6,0.013157170332648807
2007-01-31,Winner,7,0.07005790970322155
2007-01-31,Loser,7,0.0013040567820071273
2007-01-31,Winner,8,0.10325570790008683
2007-01-31,Loser,8,-0.02055741423665582
2007-01-31,Winner,9,0.15554661045718973
2007-01-31,Loser,9,-0.04863372763325669
2007-01-31,Winner,10,0.12431998380747576
2007-01-31,Loser,10,-0.06972953366325911
2007-01-31,Winner,11,0.14070781434805707
2007-01-31,Loser,11,-0.0993178971237744
2007-01-31,Winner,12,0.08284911501982577
2007-01-31,Loser,12,-0.08583384053199299
2007-01-31,Winner,13,0.10261363733956164
2007-01-31,Loser,13,-0.08342125906576195
2007-01-31,Winner,14,0.09357154054245581
2007-01-31,Loser,14,-0.09214138545762994
2007-01-31,Winner,15,0.12060752614984671
2007-01-31,Loser,15,-0.08510769808357632
2007-01-31,Winner,16,0.15439774010059332
2007-01-31,Loser,16,-0.08192159134072882
2007-01-31,Winner,17,0.16933256336247726
2007-01-31,Loser,17,-0.09782049652075592
2007-01-31,Winner,18,0.09823393959534106
2007-01-31,Loser,18,-0.07547942958845694
2007-01-31,Winner,19,0.10739571727439652
2007-01-31,Loser,19,-0.0980962987823431
2007-01-31,Winner,20,0.05094247518761661
2007-01-31,Loser,20,-0.11788102957697834
2007-01-31,Winner,21,0.04107455248747457
2007-01-31,Loser,21,-0.11354306645267712
2007-01-31,Winner,22,-0.006538106824622804
2007-01-31,Loser,22,-0.1273252098072301
2007-01-31,Winner,23,0.03834918065328634
2007-01-31,Loser,23,-0.15944012473179275
2007-01-31,Winner,24,0.05535292858139767
2007-01-31,Loser,24,-0.13055950064320973
2007-01-31,Winner,25,0.0370205982643975
2007-01-31,Loser,25,-0.12063246209056709
2007-01-31,Winner,26,0.028618203840575687
2007-01-31,Loser,26,-0.031228062891339618
2007-01-31,Winner,27,0.105064907320351
2007-01-31,Loser,27,-0.015151848838730424
2007-01-31,Winner,28,0.11446668802719345
2007-01-31,Loser,28,-0.026792083982382486
2007-01-31,Winner,29,0.10478949506983477
2007-01-31,Loser,29,-0.033296348242785004
2007-01-31,Winner,30,0.1057991537771186
2007-01-31,Loser,30,-0.013033795196608067
2007-01-31,Winner,31,0.07358356562622265
2007-01-31,Loser,31,0.04734229746696221
2007-01-31,Winner,32,0.11556837433145922
2007-01-31,Loser,32,0.05239117533349642
2007-01-31,Winner,33,0.10219557533300501
2007-01-31,Loser,33,0.036523225662817176
2007-01-31,Winner,34,0.10838538703977765
2007-01-31,Loser,34,0.0407422496434233
2007-01-31,Winner,35,0.12653026974539253
2007-01-31,Loser,35,0.047492268258485223
2007-01-31,Winner,36,0.10948166773478879
2007-01-31,Loser,36,0.03468189569982219
2010-01-31,Winner,1,0.010770067190012878
2010-01-31,Loser,1,-0.020145953735152756
2010-01-31,Winner,2,0.014833665474557828
2010-01-31,Loser,2,0.011172776465149298
2010-01-31,Winner,3,0.02332551977117895
2010-01-31,Loser,3,0.0470571177581546
2010-01-31,Winner,4,0.01848814574347114
2010-01-31,Loser,4,0.030279246117867288
2010-01-31,Winner,5,0.018438619663150125
2010-01-31,Loser,5,0.0017557591792529258
2010-01-31,Winner,6,0.0417586201786938
2010-01-31,Loser,6,0.02846603294986787
2010-01-31,Winner,7,0.07118658965183154
2010-01-31,Loser,7,0.019520566588436795
2010-01-31,Winner,8,0.10514685003520204
2010-01-31,Loser,8,0.017843507867650033
2010-01-31,Winner,9,0.1186523938568069
2010-01-31,Loser,9,0.005029889993427754
2010-01-31,Winner,10,0.14300249168345314
2010-01-31,Loser,10,-0.01000488385245516
2010-01-31,Winner,11,0.1290375942651416
2010-01-31,Loser,11,0.016499715083918544
2010-01-31,Winner,12,0.12190613950136708
2010-01-31,Loser,12,0.03315181468742941
2010-01-31,Winner,13,0.1104611234639514
2010-01-31,Loser,13,0.03423493906237087
2010-01-31,Winner,14,0.12346109017875487
2010-01-31,Loser,14,0.018689729352581258
2010-01-31,Winner,15,0.12755918785340647
2010-01-31,Loser,15,0.009495978673841816
2010-01-31,Winner,16,0.14850066390072336
2010-01-31,Loser,16,0.004987702393028872
2010-01-31,Winner,17,0.14990931616941053
2010-01-31,Loser,17,-0.006615793657812149
2010-01-31,Winner,18,0.1792274318589438
2010-01-31,Loser,18,-0.018227263457205465
2010-01-31,Winner,19,0.17684773928842962
2010-01-31,Loser,19,-0.0570598489833893
2010-01-31,Winner,20,0.1362257046467682
2010-01-31,Loser,20,-0.07514229787736978
2010-01-31,Winner,21,0.13457361531441364
2010-01-31,Loser,21,-0.03886664627520019
2010-01-31,Winner,22,0.11279552398563113
2010-01-31,Loser,22,-0.031913480619078206
2010-01-31,Winner,23,0.09231180366621818
2010-01-31,Loser,23,-0.011656879050896133
2010-01-31,Winner,24,0.1656182514297056
2010-01-31,Loser,24,-0.0019670515093222173
2010-01-31,Winner,25,0.17310340043717537
2010-01-31,Loser,25,0.011736931184593286
2010-01-31,Winner,26,0.1602237330282174
2010-01-31,Loser,26,0.02509252084524356
2010-01-31,Winner,27,0.1715188840731508
2010-01-31,Loser,27,0.034619731802826736
2010-01-31,Winner,28,0.14657804864625232
2010-01-31,Loser,28,0.022224423967285717
2010-01-31,Winner,29,0.1479516361493997
2010-01-31,Loser,29,0.03802875635037493
2010-01-31,Winner,30,0.1428826429979539
2010-01-31,Loser,30,0.04219827629856026
2010-01-31,Winner,31,0.15439884134246779
2010-01-31,Loser,31,0.05614575825765589
2010-01-31,Winner,32,0.14631521960194463
2010-01-31,Loser,32,0.07498021481706475
2010-01-31,Winner,33,0.11190450550131277
2010-01-31,Loser,33,0.08804641994436906
2010-01-31,Winner,34,0.14031814224686287
2010-01-31,Loser,34,0.07033822341772417
2010-01-31,Winner,35,0.14559741973106194
2010-01-31,Loser,35,0.08206003196078014
2010-01-31,Winner,36,0.15570478213608768
2010-01-31,Loser,36,0.10216079368748895
2013-01-31,Winner,1,-0.019247736382395676
